Date,No of Lots,VIX,Max Debit,Profit,Exit,NAV,nf nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
13/08/20,10,20.5,6000,9300,1:15:00,930343,255343,11334.85,11359.3,11269.95,11300.45,0,0,649317.874
14/08/20,10,21.6,15000,-4200,1:35:00,926143,251143,11353.3,11366.25,11111.45,11178.4,0,-0.010800455,642304.9456
19/08/20,10,20.1,92750,12400,3:25:00,938543,263543,11452.15,11460.35,11394.1,11408.4,0,0.020575395,655520.6238
20/08/20,10,20.5,109900,17150,1:55:00,955693,280693,11317.45,11361.45,11289.8,11312.2,0,-0.008432383,649993.0228
21/08/20,10,20.1,62000,9800,2:40:00,965493,290493,11409.65,11418.5,11362.2,11371.6,0,0.005250968,653406.1153
26/08/20,10,18.9,78200,5800,3:25:00,971293,296293,11512.85,11561.75,11461.85,11549.6,0,0.01565303,663633.9011
27/08/20,10,19.25,94800,210,2:30:00,971503,296503,11609.3,11617.35,11540.6,11559.25,0,0.000835527,664188.385
28/08/20,10,18.9,13400,2300,9:45:00,973803,298803,11602.95,11686.05,11589.4,11647.6,0,0.007643229,669264.9292
02/09/20,10,21.65,64800,9730,11:10:00,983533,308533,11478.55,11554.75,11430.4,11535,0,-0.009667228,662794.9928
02/09/20,10,21.65,64800,9730,11:10:00,993263,318263,11478.55,11554.75,11430.4,11535,0,0,662794.9928
03/09/20,10,20.7,87400,7100,2:30:00,1000363,325363,11566.2,11584.95,11507.65,11527.45,0,-0.00065453,662361.1738
04/09/20,10,21.65,30400,5500,10:00:00,1005863,330863,11354.4,11452.05,11303.65,11333.85,0,-0.016794694,651237.0203
09/09/20,10,22.5,55200,8900,12:25:00,1014763,339763,11218.6,11298.15,11185.15,11278,0,-0.004927717,648027.9089
10/09/20,10,21.5,69900,11200,1:55:00,1025963,350963,11363.3,11464.05,11327.4,11449.25,0,0.01518443,657867.8432
11/09/20,10,22.5,13400,-2430,9:40:00,1023533,348533,11447.8,11493.5,11419.9,11464.45,0,0.001327598,658741.2272
16/09/20,10,20.4,109700,-1300,3:25:00,1022233,347233,11538.45,11618.1,11516.75,11604.55,0,0.012220386,666791.299
17/09/20,10,19.8,120000,18450,12:50:00,1040683,365683,11539.4,11587.2,11498.5,11516.1,0,-0.00762201,661709.0088
18/09/20,10,20.4,73400,1840,3:25:00,1042523,367523,11584.1,11584.1,11446.1,11504.95,0,-0.00096821,661068.3357
23/09/20,10,20.5,94200,-16200,1:00:00,1026323,351323,11258.75,11259.55,11024.4,11131.85,0,-0.032429519,639630.2073
24/09/20,10,22.1,117600,3200,2:30:00,1029523,354523,11011,11015.3,10790.2,10805.55,0,-0.029312289,620881.182
25/09/20,10,20.5,58750,2380,3:25:00,1031903,356903,10910.4,11072.6,10854.85,11050.25,0,0.02264577,634941.5145
30/09/20,10,19.85,73750,8400,3:25:00,1040303,365303,11244.45,11295.4,11184.55,11247.55,0,0.0178548,646278.268
01/10/20,10,18.8,84500,4100,2:30:00,1044403,369403,11364.45,11428.6,11347.05,11416.95,0,0.015061058,656011.9023
07/10/20,10,19.9,58500,9200,1:45:00,1053603,378603,11679.25,11763.05,11629.35,11738.85,0,0.028194921,674508.1059
08/10/20,10,20.25,82000,13100,2:30:00,1066703,391703,11835.4,11905.7,11791.15,11834.6,0,0.008156676,680009.8502
09/10/20,10,19.9,24900,3900,10:55:00,1070603,395603,11852.05,11938.6,11805.2,11914.2,0,0.006726041,684583.6241
14/10/20,10,20.8,42750,6800,12:55:00,1077403,402403,11917.4,11997.2,11822.15,11971.05,0,0.004771617,687850.195
15/10/20,10,20.5,60600,9800,12:30:00,1087203,412203,12023.45,12025.45,11661.3,11680.35,0,-0.024283584,671146.7269
16/10/20,10,20.8,6000,1800,9:35:00,1089003,414003,11727.4,11789.75,11667.85,11762.45,0,0.007028899,675864.1494
