Date,No of Lots,VIX,Max Debit,Exit,Profit,NAV,bn nav,Open,High,Low,Close,Volume,Nifty_pct,Nifty_HOL
10/06/20,10,52.9,63300,3:25:00,5950,783184,108184,20760.95,21251.45,20671.55,21100.1,0,0.034803057,460085.2259
11/06/20,10,52.7,149625,2:30:00,4550,787734,112734,21084.7,21244.45,20458.3,20525.15,0,-0.027248686,447548.5081
17/06/20,10,62.2,62000,3:00:00,18100,805834,130834,20137.45,20627.9,19978.15,20201.75,0,-0.015756279,440496.8087
18/06/20,10,55.9,276000,2:30:00,-56500,749334,74334,20137.6,21028.35,20030.35,20956.3,0,0.037350725,456949.6837
24/06/20,10,45.6,60400,2:45:00,-21100,728234,53234,22479.35,22479.55,21336.35,21426.8,0,0.022451482,467208.8814
24/06/20,10,45.6,60400,2:45:00,-21100,707134,32134,22479.35,22479.55,21336.35,21426.8,0,0,467208.8814
25/06/20,10,46.1,237925,2:30:00,-19020,688114,13114,21218.05,21703.5,20926.45,21506.15,0,0.003703306,468939.099
01/07/20,10,43.5,61750,3:25:00,-5090,683024,8024,21354.1,22061.6,21281.85,21977.6,0,0.021921636,479219.0114
02/07/20,10,41.7,207950,2:30:00,15200,698224,23224,22133.8,22344.85,21890.5,21953.2,0,-0.001110221,478686.9722
08/07/20,10,39.6,51660,3:25:00,15100,713324,38324,22700.9,23080.6,22499.5,22584.65,0,0.02876346,492455.666
09/07/20,10,38.1,147900,2:30:00,17470,730794,55794,22753.15,22998.3,22673.4,22907.2,0,0.014281824,499488.8312
15/07/20,10,43.7,52100,3:25:00,16200,746994,71994,21634.25,21935.5,21230.55,21340.75,0,-0.06838243,465332.5712
16/07/20,10,42.2,129000,2:30:00,-17310,729684,54684,21453.25,21671.25,21027.85,21597.15,0,0.012014573,470923.3434
22/07/20,10,38.5,45750,1:45:00,13800,743484,68484,23159,23211.35,22658.2,22882.6,0,0.059519427,498952.4311
29/07/20,10,37.5,60890,3:25:00,8200,751684,76684,22075,22346.4,21906.35,22076.6,0,-0.03522327,481377.6948
30/07/20,10,37.1,188000,2:15:00,-58400,693284,18284,22195.05,22252.6,21580.15,21646.85,0,-0.019466313,472007.0461
05/08/20,10,35.1,40525,12:00:00,-9800,683484,8484,21686.85,21936.5,21448.4,21509.95,0,-0.006324246,469021.9575
06/08/20,10,35.5,123125,2:30:00,32400,715884,40884,21644.25,21926.55,21370.3,21642.6,0,0.006166913,471914.3753
12/08/20,10,30.9,37900,3:25:00,2380,718264,43264,22135.95,22326.55,21990.2,22264,0,0.028711892,485463.93
13/08/20,10,30.5,96750,2:30:00,13450,731714,56714,22395.2,22439.95,22139.6,22196.35,0,-0.003038538,483988.8297
13/08/20,10,30.5,96750,2:30:00,13450,745164,70164,22395.2,22439.95,22139.6,22196.35,0,0,483988.8297
19/08/20,10,30.5,39300,3:25:00,13200,758364,83364,22315.4,22419.35,22234.25,22285.9,0,0.004034447,485941.457
26/08/20,10,29.8,38325,3:25:00,5280,763644,88644,23175.55,23453.4,23093.15,23414.2,0,0.050628424,510543.9072
27/08/20,10,31.5,159750,2:30:00,16400,780044,105044,23511.45,23704.05,23464.15,23600.35,0,0.007950304,514602.8863
02/09/20,10,38.8,54640,1:55:00,16600,796644,121644,23769,23926.15,23482.55,23874.55,0,0.011618472,520581.7854
02/09/20,10,38.8,54640,1:55:00,16600,813244,138244,23769,23926.15,23482.55,23874.55,0,0,520581.7854
03/09/20,10,37.2,160575,2:30:00,15800,829044,154044,23986.15,24051.6,23451.65,23530.85,0,-0.014396083,513087.4469
09/09/20,10,35.1,51300,10:00:00,-15900,813144,138144,22486.7,22554.6,22080.4,22267,0,-0.053710342,485529.3447
10/09/20,10,35.1,117750,2:30:00,10620,823764,148764,22466.55,22678.65,22225.25,22466.2,0,0.008945974,489872.8775
16/09/20,10,35.9,43700,3:25:00,11020,834784,159784,22476.3,22659.4,22216.5,22573.55,0,0.004778289,492213.6318
23/09/20,10,33.5,45760,2:00:00,-14100,820684,145684,21350.8,21365.05,20821,21178.5,0,-0.061800204,461794.7288
24/09/20,10,33.5,189250,2:30:00,5830,826514,151514,20898.8,20955.6,20404.9,20456.85,0,-0.034074651,446059.2345
30/09/20,10,31.1,39860,3:25:00,340,826854,151854,21405.25,21549.35,21128.5,21451.8,0,0.04863652,467754.0035
01/10/20,10,29.1,130750,2:30:00,-10800,816054,141054,21685.25,22293.75,21664.15,22246,0,0.037022534,485071.4421
07/10/20,10,31.5,37900,2:20:00,11200,827254,152254,22836.95,23036.2,22607.8,22964.8,0,0.032311427,500744.7925
08/10/20,10,31.75,132375,2:30:00,20700,847954,172954,23150.25,23450.9,23063.6,23191.35,0,0.009865098,505684.6889
14/10/20,10,36.1,47815,3:25:00,-14350,833604,158604,23353.15,23962.7,23149.45,23874.65,0,0.029463572,520583.9659
15/10/20,10,34.2,112875,2:30:00,-22600,811004,136004,23920.35,24087.85,22970.95,23072.4,0,-0.033602587,503090.998
21/10/20,10,37.1,44850,2:00:00,-14600,796404,121404,24444.2,24823.6,24099.85,24635.05,0,0.067728108,537164.3995
22/10/20,10,36.5,202875,2:30:00,34250,830654,155654,24447.35,24691.15,24250.2,24484.15,0,-0.006125419,533874.0425
22/10/20,10,36.5,202875,2:30:00,34250,864904,189904,24447.35,24691.15,24250.2,24484.15,0,0,533874.0425
28/10/20,10,37.8,75800,2:00:00,-24330,840574,165574,24737.85,24780.7,24057.95,24232.5,0,-0.010278078,528386.8436
29/10/20,10,38.9,196625,2:30:00,36200,876774,201774,24063.5,24339.1,23822.05,24092,0,-0.005797999,525323.2574
04/11/20,10,39.3,38800,11:45:00,13900,890674,215674,25539.55,25891,25142,25771.6,0,0.069716088,561946.74
05/11/20,10,34.3,148925,2:30:00,10930,901604,226604,26174.8,26375.2,26000.05,26313.1,0,0.021011501,573754.0845
11/11/20,10,37.6,63800,1:30:00,-21600,880004,205004,28713.15,29030.9,28211.1,28845,0,0.096222034,628961.8695
11/11/20,10,37.6,63800,1:30:00,-21600,858404,183404,28713.15,29030.9,28211.1,28845,0,0,628961.8695
12/11/20,10,37.6,141500,2:30:00,-5420,852984,177984,28633.75,28672.9,28066.05,28278.8,0,-0.019629052,616615.9444
18/11/20,10,34.7,52000,1:00:00,17300,870284,195284,29107.9,29784.75,29056.75,29749.85,0,0.052019534,648692.0185
19/11/20,10,33.16,243000,2:30:00,-59900,810384,135384,29302.6,29627.2,28819.55,28903.05,0,-0.028464009,630227.643
25/11/20,10,32.4,62950,11:00:00,-18890,791494,116494,30021.9,30197.85,29132.3,29196.4,0,0.010149448,636624.1056
26/11/20,10,32.4,223000,2:30:00,-4100,787394,112394,29370.4,29623,28923.1,29549.75,0,0.012102519,644328.8613
02/12/20,10,31,150925,3:25:00,16500,803894,128894,29876.7,29886.25,29149.9,29463.15,0,-0.002930651,642440.5583
03/12/20,10,29.6,180250,2:30:00,15180,819074,144074,29728.9,29813,29379.4,29448.75,0,-0.000488746,642126.568
09/12/20,10,26.9,109175,3:25:00,14500,833574,158574,30335.05,30807.25,30326.7,30709.4,0,0.042808269,669614.8946
10/12/20,10,26.6,129750,2:30:00,34425,867999,192999,30545.35,30610,30202.1,30510.35,0,-0.006481729,665274.6325
16/12/20,10,26.2,87125,3:25:00,4590,872589,197589,30920.35,30932.25,30587.1,30698.4,0,0.006163482,669375.0409
17/12/20,10,24.9,101250,2:30:00,10030,882619,207619,30791.2,30945.2,30643.9,30847.05,0,0.004842272,672616.3368
